price,year,manufacturer,condition,cylinders,fuel,odometer,transmission,drive,type,vehicle_age,price_tier
98900,2001.0,other,good,8 cylinders,gas,20187.0,automatic,rwd,convertible,22.0,premium
16500,2011.0,ford,excellent,8 cylinders,gas,201766.0,automatic,4wd,truck,12.0,mid
3999,2006.0,other,,6 cylinders,gas,207238.0,automatic,fwd,sedan,17.0,budget
9400,2008.0,other,good,6 cylinders,gas,129473.0,automatic,rwd,sedan,15.0,budget
3850,2003.0,dodge,,8 cylinders,gas,215604.0,automatic,rwd,SUV,20.0,budget
7900,2013.0,nissan,good,6 cylinders,gas,152400.0,automatic,fwd,SUV,10.0,budget
4300,2012.0,other,,4 cylinders,gas,174053.0,automatic,fwd,wagon,11.0,budget
2800,2006.0,ford,,6 cylinders,gas,230108.0,automatic,fwd,sedan,17.0,budget
3900,2010.0,chevrolet,,4 cylinders,gas,162218.0,automatic,fwd,sedan,13.0,budget
7300,2007.0,other,good,6 cylinders,gas,181000.0,automatic,fwd,SUV,16.0,budget
72900,2021.0,chevrolet,good,8 cylinders,gas,19129.0,automatic,4wd,SUV,2.0,premium
28900,2017.0,other,good,6 cylinders,gas,94601.0,automatic,4wd,SUV,6.0,premium
17000,2019.0,chevrolet,good,4 cylinders,gas,14898.0,automatic,4wd,SUV,4.0,mid
5950,2007.0,other,good,4 cylinders,gas,72000.0,manual,fwd,hatchback,16.0,budget
3999,2006.0,honda,,4 cylinders,gas,253076.0,automatic,fwd,sedan,17.0,budget
8900,2013.0,toyota,excellent,4 cylinders,hybrid,142900.0,automatic,fwd,wagon,10.0,budget
39990,2019.0,nissan,good,6 cylinders,gas,8373.0,other,rwd,coupe,4.0,premium
11587,2013.0,ford,,4 cylinders,gas,215046.0,other,fwd,SUV,10.0,mid
4000,2002.0,toyota,like new,4 cylinders,gas,160000.0,automatic,fwd,sedan,21.0,budget
2999,2007.0,ford,,6 cylinders,gas,162029.0,automatic,fwd,sedan,16.0,budget
10800,2013.0,toyota,excellent,4 cylinders,hybrid,147000.0,automatic,fwd,sedan,10.0,mid
5500,2008.0,nissan,like new,4 cylinders,gas,150000.0,automatic,fwd,sedan,15.0,budget
35990,2016.0,dodge,good,,other,18955.0,other,rwd,coupe,7.0,premium
34990,2018.0,ram,good,6 cylinders,other,22064.0,other,4wd,pickup,5.0,premium
3500,1994.0,ford,fair,8 cylinders,diesel,190000.0,manual,rwd,truck,29.0,budget
36990,2018.0,toyota,good,6 cylinders,gas,21415.0,other,4wd,other,5.0,premium
23590,2017.0,nissan,good,,gas,37091.0,other,fwd,pickup,6.0,premium
30990,2017.0,nissan,good,6 cylinders,gas,31095.0,other,4wd,pickup,6.0,premium
21590,2017.0,other,good,,gas,14934.0,other,fwd,sedan,6.0,mid
16000,2016.0,dodge,like new,6 cylinders,gas,62000.0,automatic,rwd,sedan,7.0,mid
1500,2005.0,toyota,good,4 cylinders,gas,222100.0,automatic,fwd,sedan,18.0,budget
40000,2017.0,chevrolet,like new,8 cylinders,gas,68000.0,automatic,rwd,SUV,6.0,premium
10500,2008.0,other,good,6 cylinders,gas,122904.0,automatic,rwd,wagon,15.0,budget
9500,2014.0,toyota,good,4 cylinders,gas,136128.0,automatic,fwd,hatchback,9.0,budget
12900,2014.0,nissan,good,4 cylinders,gas,120211.0,automatic,fwd,SUV,9.0,mid
4275,2006.0,jeep,,6 cylinders,gas,174132.0,automatic,4wd,SUV,17.0,budget
3200,2006.0,chevrolet,good,6 cylinders,gas,178762.0,automatic,rwd,SUV,17.0,budget
3399,2006.0,other,,6 cylinders,gas,160218.0,automatic,fwd,sedan,17.0,budget
3900,2009.0,hyundai,,4 cylinders,gas,162005.0,automatic,rwd,sedan,14.0,budget
15897,2018.0,chevrolet,,4 cylinders,gas,65950.0,other,fwd,sedan,5.0,mid
3300,1999.0,other,,6 cylinders,gas,162026.0,automatic,fwd,sedan,24.0,budget
6950,2011.0,volkswagen,excellent,5 cylinders,gas,116000.0,automatic,fwd,sedan,12.0,budget
8995,2005.0,nissan,excellent,6 cylinders,gas,53320.0,automatic,fwd,sedan,18.0,budget
48900,2018.0,chevrolet,like new,8 cylinders,diesel,43034.0,automatic,4wd,truck,5.0,premium
9988,2014.0,other,good,4 cylinders,gas,121259.0,automatic,fwd,SUV,9.0,budget
24888,2019.0,ford,excellent,6 cylinders,gas,8176.0,automatic,rwd,pickup,4.0,premium
16888,2008.0,toyota,good,6 cylinders,gas,188096.0,automatic,4wd,SUV,15.0,mid
19888,2015.0,other,excellent,6 cylinders,gas,111261.0,automatic,4wd,SUV,8.0,mid
31888,2015.0,gmc,good,8 cylinders,gas,109947.0,automatic,rwd,SUV,8.0,premium
3999,2003.0,other,,6 cylinders,gas,233830.0,automatic,rwd,sedan,20.0,budget
34950,2016.0,nissan,,,diesel,158159.0,automatic,4wd,pickup,7.0,premium
99950,2021.0,chevrolet,,,gas,510.0,automatic,rwd,coupe,2.0,premium
29950,1998.0,other,,,gas,16429.0,automatic,rwd,hatchback,25.0,premium
39995,1999.0,dodge,,,gas,15897.0,manual,rwd,convertible,24.0,premium
2550,2004.0,other,,6 cylinders,gas,224105.0,automatic,rwd,SUV,19.0,budget
16990,2019.0,toyota,,4 cylinders,gas,44752.0,automatic,fwd,sedan,4.0,mid
12499,2012.0,toyota,,4 cylinders,gas,64950.0,automatic,fwd,sedan,11.0,mid
13999,2018.0,other,,4 cylinders,gas,46848.0,automatic,fwd,wagon,5.0,mid
7999,2007.0,toyota,,6 cylinders,gas,67650.0,automatic,fwd,sedan,16.0,budget
8799,2006.0,other,,4 cylinders,gas,89375.0,automatic,fwd,sedan,17.0,budget
9990,2015.0,toyota,excellent,4 cylinders,gas,125224.0,automatic,fwd,sedan,8.0,budget
29950,2014.0,gmc,excellent,8 cylinders,gas,139029.0,automatic,4wd,truck,9.0,premium
9990,2009.0,other,excellent,6 cylinders,gas,163230.0,automatic,fwd,SUV,14.0,budget
45950,2014.0,gmc,excellent,8 cylinders,diesel,154289.0,automatic,4wd,truck,9.0,premium
17897,2015.0,other,,6 cylinders,gas,91067.0,other,fwd,sedan,8.0,mid
11500,2008.0,ford,good,8 cylinders,diesel,283356.0,automatic,rwd,pickup,15.0,mid
7990,2011.0,bmw,excellent,6 cylinders,gas,123000.0,automatic,rwd,sedan,12.0,budget
9990,2009.0,bmw,excellent,6 cylinders,gas,93659.0,automatic,4wd,SUV,14.0,budget
11990,2011.0,honda,excellent,4 cylinders,gas,109000.0,automatic,fwd,SUV,12.0,mid
15990,2015.0,chevrolet,,6 cylinders,gas,53000.0,automatic,rwd,other,8.0,mid
14700,2015.0,honda,excellent,4 cylinders,gas,70672.0,automatic,4wd,SUV,8.0,mid
11295,2014.0,chevrolet,,4 cylinders,gas,49019.0,automatic,fwd,hatchback,9.0,mid
2450,2000.0,other,good,6 cylinders,gas,246653.0,automatic,4wd,SUV,23.0,budget
29990,2019.0,other,good,,gas,5247.0,other,rwd,other,4.0,premium
16590,2016.0,jeep,good,,gas,35835.0,other,4wd,other,7.0,mid
25590,2017.0,jeep,good,6 cylinders,other,31315.0,other,4wd,SUV,6.0,premium
39590,2017.0,chevrolet,good,8 cylinders,gas,10496.0,other,rwd,coupe,6.0,premium
5500,2001.0,ford,fair,,diesel,340000.0,automatic,fwd,van,22.0,budget
3500,1995.0,honda,good,4 cylinders,gas,215000.0,manual,fwd,convertible,28.0,budget
7200,2007.0,toyota,excellent,4 cylinders,gas,155490.0,automatic,fwd,SUV,16.0,budget
45300,2018.0,ram,excellent,6 cylinders,diesel,34125.0,automatic,4wd,truck,5.0,premium
17500,2001.0,ram,good,6 cylinders,diesel,178000.0,manual,4wd,truck,22.0,mid
5500,2010.0,hyundai,good,4 cylinders,gas,114988.0,automatic,fwd,hatchback,13.0,budget
6900,2008.0,ford,good,4 cylinders,hybrid,103550.0,automatic,fwd,SUV,15.0,budget
10900,2010.0,honda,good,6 cylinders,gas,97804.0,automatic,fwd,wagon,13.0,mid
8900,2014.0,other,good,4 cylinders,gas,84778.0,automatic,fwd,hatchback,9.0,budget
8900,2003.0,ford,good,8 cylinders,diesel,247000.0,automatic,rwd,truck,20.0,budget
2675,1996.0,toyota,,4 cylinders,gas,164719.0,automatic,fwd,sedan,27.0,budget
8500,2004.0,bmw,excellent,4 cylinders,gas,116014.0,automatic,rwd,other,19.0,budget
36990,2016.0,gmc,good,8 cylinders,gas,23190.0,other,4wd,pickup,7.0,premium
3650,2008.0,other,,4 cylinders,gas,115124.0,automatic,fwd,sedan,15.0,budget
19888,2015.0,other,excellent,6 cylinders,gas,111261.0,automatic,4wd,SUV,8.0,mid
